geo,end_market,asset_type,oem_brand,sku_tier,sku_profile,include_terms,exclude_terms,price_type,data_source_type,currency_preference
North America,Customer Premises Equipment,Set-top boxes,CommScope / Arris,Low-end,Basic cable set-top box,CommScope;Arris Basic cable set-top box,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,CommScope / Arris,Mid-range,DVR / HD cable box,CommScope;Arris DVR;HD cable box,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,CommScope / Arris,High-end,IPTV / gateway STB,CommScope;Arris IPTV;gateway STB,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Technicolor / Vantiva,Low-end,HD set-top box,Technicolor;Vantiva HD set-top box,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Technicolor / Vantiva,Mid-range,IPTV box,Technicolor;Vantiva IPTV box,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Technicolor / Vantiva,High-end,Operator gateway / advanced STB,Technicolor;Vantiva Operator gateway;advanced STB,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Sagemcom,Low-end,Basic STB,Sagemcom Basic STB,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Sagemcom,Mid-range,HD / DVR STB,Sagemcom HD;DVR STB,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Sagemcom,High-end,IPTV / fiber TV gateway,Sagemcom IPTV;fiber TV gateway,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Cisco,Low-end,Legacy Cisco STB,Cisco Legacy Cisco STB,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Cisco,Mid-range,Cisco HD / DVR box,Cisco Cisco HD;DVR box,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Cisco,High-end,Cisco IPTV / enterprise video endpoint,Cisco Cisco IPTV;enterprise video endpoint,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Roku,Low-end,Roku Express,Roku Roku Express,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Roku,Mid-range,Roku Streaming Stick / Ultra,Roku Roku Streaming Stick;Ultra,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
North America,Customer Premises Equipment,Set-top boxes,Roku,High-end,Roku TV / premium streaming bundle,Roku Roku TV;premium streaming bundle,for parts;not working;faulty;broken;untested;spares;parts only;remote only;power supply only;operator locked,list,public_resale_listing,USD
